cod_sector,descripcion,estado,fecha_alta,fecha_baja,fecha_ultima_modificacion,cod_dominio,id_usuario,id_lugar,id_area,tipo_sector
1.0,Guardia de DÃ­a,A,2025-01-20 17:29:48.708901,,2025-01-20 17:29:48.708901,,1,26,,3
2.0,Morgue,A,2025-01-20 22:55:26.169548,,2025-01-20 22:55:26.169548,,1,29,,7
3.0,Pediatria,A,2025-01-20 22:59:39.436524,,2025-01-20 22:59:39.436524,,1,21,,4
4.0,Guardia de Noche,A,2025-01-20 23:14:59.544664,,2025-01-20 23:14:59.544664,,1,26,,3
5.0,Morgue Alvarez,A,2025-01-23 19:41:58.887911,,2025-01-23 19:41:58.887911,,1,26,,7
6.0,,A,2025-01-24 21:17:36.177881,,2025-01-24 21:17:36.177881,,1,26,,1
7.0,,A,2025-01-24 21:18:59.062281,,2025-01-24 21:18:59.062281,,1,26,,1
8.0,Guardia Intermedio,A,2025-01-27 10:10:20.662481,,2025-01-27 10:10:20.662481,,1,26,,3
9.0,Internacion,A,2025-01-31 15:56:39.073084,,2025-01-31 15:56:39.073084,,1,26,,4
